bb_barrels,delta_run_exp
0,-0.011727869442004109
1,-0.152
2,-0.27249999999999996
3,0.12289084507042254
4,0.5565
5,1.078
6,-0.18449421545075229
7,0.3820855184743743
8,0.1983664136804688
9,0.9473708325395314
10,-0.05613409648405559
11,-0.11413678980687554
12,-0.11248782026251763
13,-0.2933333333333334
14,0.14814240724633335
15,0.24325531914893617
16,0.3985
17,0.32685603112840467
18,-0.06481484570475396
19,-0.009692036645525015
20,-0.06640861344537814
21,0.32607984826782926
22,0.29667856390079395
23,0.6940139402260007
24,-0.10049090909090909
25,-0.19390792079207922
26,-0.3386
27,-0.24570439463206017
28,-0.051354898336414045
29,0.0706666666666667
30,0.9755
