batter,decScore_bayes,decScore_bayes_grade,decScore_ci_lower_grade,decScore_ci_upper_grade,95th_pBat_speed_bayes,95th_pBat_speed_bayes_grade,95th_pBat_speed_ci_lower_grade,95th_pBat_speed_ci_upper_grade,smash_factor_bayes,smash_factor_bayes_grade,smash_factor_ci_lower_grade,smash_factor_ci_upper_grade,conScore_bayes,conScore_bayes_grade,conScore_ci_lower_grade,conScore_ci_upper_grade
444482,-0.46951829194563094,,,,80.14678417805327,,,,0.397479053262746,,,,-0.13595925716202287,,,
453568,-0.45561447423576684,,,,79.88848530895731,,,,0.4236627691082024,,,,-0.09435995937822377,,,
455117,-0.4771173754987699,,,,80.21040926713205,,,,0.36039764562686233,,,,-0.25707579672724323,,,
456781,-0.4992465748568119,,,,79.97490147472104,,,,0.4056706068233357,,,,-0.1375790528279407,,,
457705,-0.45022831061843205,,,,80.05087173033749,,,,0.39140852696338047,,,,-0.21856883612383274,,,
457759,-0.5012507287609365,,,,79.82960836085456,,,,0.38936063857323305,,,,-0.0870708788815935,,,
467793,-0.4221284027543523,,,,80.23604922840259,,,,0.4442147918807533,,,,-0.1427329481285884,,,
493329,-0.4604995993770704,,,,79.60074796581,,,,0.4148861045789991,,,,-0.11129418679463757,,,
500743,-0.44100085201819195,,,,79.62448867069014,,,,0.510917442302698,,,,-0.045029818643453165,,,
501303,-0.4439235764617069,,,,78.14591757075489,,,,0.39031144389723005,,,,-0.2080401642953668,,,
502054,-0.44868344198400273,,,,80.10974867844024,,,,0.4768347283809587,,,,-0.16128697121092,,,
502110,-0.48709639181305675,,,,80.02618139726215,,,,0.3383828454327775,,,,-0.20656762278089602,,,
502671,-0.4838813949251903,,,,80.436420777591,,,,0.37648819726373495,,,,-0.1816816711863401,,,
514888,-0.44471688738208953,,,,80.11259756302586,,,,0.4420937646195292,,,,-0.073597124024186,,,
516782,-0.464841932836007,,,,79.90367936008062,,,,0.40881557827963355,,,,-0.1497275203223245,,,
518595,-0.4682239425492172,,,,80.50004586666978,,,,0.3655173666022309,,,,-0.23057004946676948,,,
518692,-0.43824514040002066,,,,80.28448026635809,,,,0.416348882000533,,,,-0.10621391856971343,,,
518735,-0.42893417538710865,,,,80.32911279153275,,,,0.4827589769381709,,,,-0.11431289689930263,,,
